player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCity_Lat,player_birthCity_Long,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8444919,Tommy Albelin,Tommy,Albelin,1964-05-21,Stockholm,59.3294,18.0686,SWE,,SWE,"6' 2""",195,L,D
8444945,Glenn Anderson,Glenn,Anderson,1960-10-02,Vancouver,49.25,-123.1,CAN,BC,CAN,"6' 1""",190,L,R
8445000,Dave Andreychuk,Dave,Andreychuk,1963-09-29,Hamilton,43.2567,-79.8692,CAN,ON,CAN,"6' 4""",225,R,L
8445275,Tom Barrasso,Tom,Barrasso,1965-03-31,Boston,42.3188,-71.0846,USA,MA,USA,"6' 3""",210,R,G
8445386,Ed Belfour,Ed,Belfour,1965-04-21,Carman,,,CAN,MB,CAN,"6' 0""",214,L,G
8445417,Brian Bellows,Brian,Bellows,1964-09-01,St. Catharines,43.1833,-79.2333,CAN,ON,CAN,"5' 11""",210,R,L
8445423,Benoit Hogue,Benoit,Hogue,1966-10-28,Repentigny,45.7333,-73.4667,CAN,QC,CAN,"5' 10""",194,L,L
8445461,Jeff Beukeboom,Jeff,Beukeboom,1965-03-28,Ajax,43.8583,-79.0364,CAN,ON,CAN,"6' 5""",230,R,D
8445550,Rob Blake,Rob,Blake,1969-12-10,Simcoe,,,CAN,ON,CAN,"6' 4""",220,R,D
8445621,Ray Bourque,Ray,Bourque,1960-12-28,Montréal,45.5089,-73.5617,CAN,QC,CAN,"6' 0""",223,L,D
8445629,Phil Bourque,Phil,Bourque,1962-06-08,Chelmsford,51.7361,0.4798,USA,MA,USA,"6' 1""",196,L,L
8445724,Neal Broten,Neal,Broten,1959-11-29,Roseau,15.3,-61.3833,USA,MN,USA,"5' 10""",175,L,C
8445730,Doug Brown,Doug,Brown,1964-06-12,Southborough,51.1598,0.2652,USA,MA,USA,"5' 11""",185,R,R
8445734,Benoit Brunet,Benoit,Brunet,1968-08-24,Ste-Anne-de-Bellevue,,,CAN,QC,CAN,"5' 10""",203,L,L
8445735,Rod Brind'Amour,Rod,Brind'Amour,1970-08-09,Ottawa,45.4247,-75.695,CAN,ON,CAN,"6' 1""",205,L,C
8445739,Patrice Brisebois,Patrice,Brisebois,1971-01-27,Montréal,45.5089,-73.5617,CAN,QC,CAN,"6' 2""",197,R,D
8445861,Jock Callander,Jock,Callander,1961-04-23,Regina,50.4547,-104.607,CAN,SK,CAN,"6' 1""",188,R,R
8445977,Bobby Carpenter,Bobby,Carpenter,1963-07-13,Beverly,34.0786,-118.402,USA,MA,USA,"6' 0""",200,L,C
8446013,Jay Caufield,Jay,Caufield,1960-07-17,Philadelphia,40.0077,-75.1339,USA,PA,USA,"6' 4""",237,R,R
8446026,Tom Chorske,Tom,Chorske,1966-09-18,Minneapolis,44.9635,-93.2678,USA,MN,USA,"6' 1""",212,R,R
8446036,Guy Carbonneau,Guy,Carbonneau,1960-03-18,Sept-Iles,50.2167,-66.3833,CAN,QC,CAN,"5' 11""",186,R,C
8446042,Shawn Chambers,Shawn,Chambers,1966-10-11,Sterling Heights,42.5809,-83.0305,USA,MI,USA,"6' 2""",210,L,D
8446050,Jeff Chychrun,Jeff,Chychrun,1966-05-03,LaSalle,42.2167,-83.0667,CAN,QC,CAN,"6' 4""",215,R,D
8446053,Chris Chelios,Chris,Chelios,1962-01-25,Chicago,41.8373,-87.6862,USA,IL,USA,"6' 0""",191,R,D
8446117,Paul Coffey,Paul,Coffey,1961-06-01,Weston,51.346,-2.977,CAN,ON,CAN,"6' 0""",205,L,D
8446127,Danton Cole,Danton,Cole,1967-01-10,Pontiac,42.6493,-83.2878,USA,MI,USA,"5' 11""",185,R,R
8446134,Frederic Chabot,Frederic,Chabot,1968-02-12,Herbertville Station,,,CAN,QC,CAN,"5' 11""",187,R,G
8446286,J.J. Daigneault,J.J.,Daigneault,1965-10-12,Montréal,45.5089,-73.5617,CAN,QC,CAN,"5' 10""",192,L,D
8446303,Vincent Damphousse,Vincent,Damphousse,1967-12-17,Montréal,45.5089,-73.5617,CAN,QC,CAN,"6' 1""",205,L,C
8446305,Jeff Daniels,Jeff,Daniels,1968-06-24,Oshawa,43.9,-78.85,CAN,ON,CAN,"6' 1""",200,L,L
8446309,Ken Daneyko,Ken,Daneyko,1964-04-17,Windsor,42.2833,-83.0,CAN,ON,CAN,"6' 1""",215,L,D
8446407,Eric Desjardins,Eric,Desjardins,1969-06-14,Rouyn,48.2333,-79.0167,CAN,QC,CAN,"6' 1""",205,R,D
8446415,Gilbert Dionne,Gilbert,Dionne,1970-09-19,Drummondville,45.8833,-72.4833,CAN,QC,CAN,"6' 1""",205,L,L
8446424,Gord Dineen,Gord,Dineen,1962-09-21,Quebec City,46.8139,-71.2081,CAN,QC,CAN,"6' 0""",195,R,D
8446484,Bruce Driver,Bruce,Driver,1962-04-29,Toronto,43.7417,-79.3733,CAN,ON,CAN,"6' 0""",185,L,D
8446485,Kris Draper,Kris,Draper,1971-05-24,Toronto,43.7417,-79.3733,CAN,ON,CAN,"5' 10""",188,L,C
8446494,Steve Duchesne,Steve,Duchesne,1965-06-30,Sept-Iles,50.2167,-66.3833,CAN,QC,CAN,"5' 11""",195,L,D
8446501,Donald Dufresne,Donald,Dufresne,1967-04-10,Rimouski,48.45,-68.53,CAN,QC,CAN,"6' 1""",206,R,D
8446715,Bob Errey,Bob,Errey,1964-09-21,Montréal,45.5089,-73.5617,CAN,QC,CAN,"5' 11""",175,L,L
8446733,Todd Ewen,Todd,Ewen,1966-03-22,Saskatoon,52.1333,-106.683,CAN,SK,CAN,"6' 3""",230,R,R
8446788,Sergei Fedorov,Sergei,Fedorov,1969-12-13,Pskov,57.8167,28.3333,RUS,,RUS,"6' 2""",207,L,C
8446789,Viacheslav Fetisov,Viacheslav,Fetisov,1958-04-20,Moscow,55.7558,37.6178,RUS,,RUS,"6' 1""",215,L,D
8446831,Stephane Fiset,Stephane,Fiset,1970-06-17,Montréal,45.5089,-73.5617,CAN,QC,CAN,"6' 1""",198,L,G
8446951,Ron Francis,Ron,Francis,1963-03-01,Sault Ste. Marie,46.5333,-84.35,CAN,ON,CAN,"6' 3""",200,L,C
8447067,Mike Gartner,Mike,Gartner,1959-10-29,Ottawa,45.4247,-75.695,CAN,ON,CAN,"6' 0""",190,R,R
8447169,Greg Gilbert,Greg,Gilbert,1962-01-22,Toronto,43.7417,-79.3733,CAN,ON,CAN,"6' 1""",195,L,L
8447177,Brent Gilchrist,Brent,Gilchrist,1967-04-03,Moose Jaw,50.3933,-105.552,CAN,SK,CAN,"5' 11""",180,L,L
8447363,Alexei Gusarov,Alexei,Gusarov,1964-07-08,Moscow,55.7558,37.6178,RUS,,RUS,"6' 2""",200,L,D
8447364,Adam Graves,Adam,Graves,1968-04-12,Tecumseh,42.2431,-82.9256,CAN,ON,CAN,"6' 0""",205,L,L
8447386,Stu Grimson,Stu,Grimson,1965-05-20,Kamloops,50.6761,-120.341,CAN,BC,CAN,"6' 5""",239,L,L
8447477,Kevin Haller,Kevin,Haller,1970-12-05,Trochu,,,CAN,AB,CAN,"6' 2""",200,L,D
8447515,Dave Hannan,Dave,Hannan,1961-11-26,Sudbury,51.5537,-0.3199,CAN,ON,CAN,"5' 10""",180,L,C
8447673,Mike Hartman,Mike,Hartman,1967-02-07,Detroit,42.3834,-83.1024,USA,MI,USA,"6' 0""",190,L,L
8447687,Dominik Hasek,Dominik,Hasek,1965-01-29,Pardubice,50.0386,15.7792,CZE,,CZE,"6' 1""",166,L,G
8447709,Glenn Healy,Glenn,Healy,1962-08-23,Pickering,43.8354,-79.089,CAN,ON,CAN,"5' 8""",195,L,G
8447958,Bobby Holik,Bobby,Holik,1971-01-01,Jihlava,49.4003,15.5906,CZE,,CZE,"6' 4""",230,R,C
8448017,Tony Hrkac,Tony,Hrkac,1966-07-07,Thunder Bay,48.3822,-89.2461,CAN,ON,CAN,"5' 11""",190,L,C
8448029,Jiri Hrdina,Jiri,Hrdina,1958-01-05,Prague,50.0833,14.4167,CZE,,CZE,"6' 0""",195,L,C
8448046,Mike Hudson,Mike,Hudson,1967-02-06,Guelph,43.55,-80.25,CAN,ON,CAN,"6' 2""",205,L,C
8448091,Brett Hull,Brett,Hull,1964-08-09,Belleville,40.795,-74.1616,CAN,ON,USA,"5' 11""",205,R,R
8448208,Jaromir Jagr,Jaromir,Jagr,1972-02-15,Kladno,50.1431,14.1053,CZE,,CZE,"6' 3""",230,L,R
8448271,Grant Jennings,Grant,Jennings,1965-05-05,Hudson Bay,,,CAN,SK,CAN,"6' 3""",200,L,D
8448415,Mike Keane,Mike,Keane,1967-05-29,Winnipeg,49.8844,-97.1464,CAN,MB,CAN,"5' 10""",190,R,R
8448419,Dan Keczmer,Dan,Keczmer,1968-05-25,Mt. Clemens,,,USA,MI,USA,"6' 3""",205,L,D
8448519,Joey Kocur,Joey,Kocur,1964-12-21,Calgary,51.05,-114.067,CAN,AB,CAN,"6' 0""",222,R,R
8448539,Nick Kypreos,Nick,Kypreos,1966-06-04,Toronto,43.7417,-79.3733,CAN,ON,CAN,"6' 0""",210,L,L
8448554,Uwe Krupp,Uwe,Krupp,1965-06-24,Cologne,50.9422,6.9578,DEU,,DEU,"6' 6""",240,R,D
8448622,John LeClair,John,LeClair,1969-07-05,St. Albans,38.3769,-81.8198,USA,VT,USA,"6' 3""",233,L,L
8448669,Igor Larionov,Igor,Larionov,1960-12-03,Voskresensk,55.3167,38.6833,RUS,,RUS,"5' 11""",170,L,C
8448674,Claude Lapointe,Claude,Lapointe,1968-10-11,Lachine,,,CAN,QC,CAN,"5' 9""",188,L,C
