season_id,season_year,season_winner,season_loser
19911992,19911992,5,16
19921993,19921993,8,26
19931994,19931994,3,23
19941995,19941995,1,17
19951996,19951996,21,13
19961997,19961997,17,4
19971998,19971998,17,15
19981999,19981999,25,7
19992000,19992000,1,25
20002001,20002001,21,1
20012002,20012002,17,12
20022003,20022003,1,24
20032004,20032004,14,20
20052006,20052006,12,22
20062007,20062007,24,9
20072008,20072008,17,5
20082009,20082009,5,17
20092010,20092010,16,4
20102011,20102011,6,23
20112012,20112012,26,1
20122013,20122013,16,6
20132014,20132014,26,3
20142015,20142015,16,14
20152016,20152016,5,28
20162017,20162017,5,18
20172018,20172018,15,54
20182019,20182019,19,6
20192020,20192020,14,25
20202021,20202021,14,8
20212022,20212022,21,14
20222023,20222023,54,13
