goalie_stats_id,player_id,season_id,goalie_stats_age,goalie_stats_timeOnIce,goalie_stats_goalie_ot,goalie_stats_goalie_shutouts,goalie_stats_goalie_ties,goalie_stats_wins,goalie_stats_goalie_losses,goalie_stats_saves,goalie_stats_powerPlaySaves,goalie_stats_powerPlayPoints,goalie_stats_shortHandedSaves,goalie_stats_shortHandedShots,goalie_stats_evenShots,goalie_stats_powerPlayShot,goalie_stats_savePercentage,goalie_stats_goalAgainstAverage,goalie_stats_games,goalie_stats_gamesStarted,goalie_stats_shotsAgainst,goalie_stats_goalie_goalsAgainst,goalie_stats_timeOnIcePerGame,goalie_stats_powerPlaySavePercentage,goalie_stats_shortHandedSavePercentage,goalie_stats_evenStrengthSavePercentage
,8445275,19911992,27,3329:29,0,1,9,25,22,1506,0,0,0,0,0,0,0.884841,3.53208,57,57,1702,196,58:24,0,0,0
,8445386,19981999,34,3535:49,0,5,9,35,15,1256,221,61,973,64,1053,255,0.914785,1.985397,61,59,1373,117,57:57,86.66666666666667,95.3125,92.40265906932574
,8446134,19921993,25,40:00,0,0,0,0,0,18,0,0,0,0,0,0,0.947368,1.5,1,1,19,1,40:00,0,0,0
,8446831,19951996,26,2106:38,0,1,7,22,6,909,0,0,0,0,0,0,0.898221,2.933591,37,35,1012,103,56:56,0,0,0
,8447687,20012002,37,3871:40,0,5,8,41,15,1514,287,57,1170,62,1265,327,0.915357,2.169608,65,64,1654,140,59:33,87.76758409785933,91.93548387096774,92.4901185770751
,8447709,19931994,32,1368:14,0,2,2,10,12,498,0,0,0,0,0,0,0.878307,3.0258,29,17,567,69,47:10,0,0,0
,8450390,19911992,28,531:27,0,0,1,5,2,254,0,0,0,0,0,0,0.888112,3.612758,10,9,286,32,53:08,0,0,0
,8450657,19921993,24,1433:12,0,1,1,17,5,601,0,0,0,0,0,0,0.881232,3.391013,26,21,682,81,55:07,0,0,0
,8450833,19931994,28,3710:29,0,5,6,42,12,1599,0,0,0,0,0,0,0.909556,2.571094,68,67,1758,159,54:33,0,0,0
,8451033,19921993,28,3594:59,0,2,5,31,25,1622,0,0,0,0,0,0,0.894157,3.204465,62,62,1814,192,57:59,0,0,0
,8451860,19941995,31,734:00,0,0,2,3,7,278,0,0,0,0,0,0,0.899676,2.53406,15,9,309,31,48:56,0,0,0
,8452217,19961997,34,1952:03,0,0,8,13,11,703,0,0,0,0,0,0,0.898977,2.428216,33,33,782,79,59:09,0,0,0
,8452535,19911992,28,1707:25,0,0,3,14,11,653,0,0,0,0,0,0,0.860343,3.724926,32,30,759,106,53:21,0,0,0
,8452576,19911992,29,837:40,0,0,0,7,6,423,0,0,0,0,0,0,0.888655,3.796259,18,12,476,53,46:32,0,0,0
,8455710,19941995,23,2184:25,0,3,6,19,11,819,0,0,0,0,0,0,0.901982,2.444589,40,39,908,89,54:36,0,0,0
,8457969,20022003,33,613:40,0,1,1,5,3,208,23,10,175,10,189,24,0.932735,1.466594,11,9,223,15,55:47,95.83333333333334,100.0,92.5925925925926
,8458266,19981999,29,1256:41,0,1,3,16,3,514,94,14,340,15,378,103,0.914591,2.291747,26,22,562,48,48:20,91.2621359223301,93.33333333333333,89.94708994708994
,8458568,19961997,25,2768:48,0,6,9,23,13,1069,0,0,0,0,0,0,0.909787,2.297024,47,45,1175,106,58:54,0,0,0
,8458988,19981999,25,59:42,0,0,0,0,1,27,8,1,18,1,20,8,0.931034,2.01005,1,1,29,2,59:42,100.0,100.0,90.0
,8459140,20032004,31,3273:46,0,3,7,28,19,1287,162,54,1072,57,1165,192,0.910184,2.327594,55,54,1414,127,59:31,84.375,94.73684210526315,92.01716738197425
,8459308,20012002,29,1117:14,0,1,2,10,6,458,98,14,346,15,382,106,0.910537,2.416684,20,18,503,45,55:51,92.45283018867924,93.33333333333333,90.57591623036649
,8459357,19961997,25,293:47,0,1,1,2,2,106,0,0,0,0,0,0,0.929825,1.633857,6,4,114,8,48:57,0,0,0
,8459432,19951996,21,2892:39,0,3,5,26,17,1342,0,0,0,0,0,0,0.906757,2.862427,50,49,1480,138,57:51,0,0,0
,8459549,19971998,24,178:15,0,0,1,2,0,57,20,4,33,4,35,24,0.904762,2.019635,4,2,63,6,44:33,83.33333333333334,100.0,94.28571428571428
,8460692,20012002,27,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8460696,20002001,26,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8460703,20102011,37,3363:58,9,9,0,35,11,1699,241,51,1407,54,1486,271,0.938156,1.997642,57,55,1811,112,59:01,88.92988929889299,94.44444444444444,94.68371467025572
,8460715,20032004,29,1688:13,0,1,1,18,9,606,86,25,495,25,541,98,0.912651,2.061347,29,28,664,58,58:12,87.75510204081633,100.0,91.49722735674676
,8462044,20062007,30,3244:38,8,4,0,36,10,1368,304,45,1020,46,1102,342,0.918121,2.256033,56,53,1490,122,57:56,88.88888888888889,97.82608695652173,92.5589836660617
,8464999,20082009,31,1020:34,0,0,0,8,9,449,92,12,345,14,376,112,0.894422,3.115916,19,16,502,53,53:42,82.14285714285714,85.71428571428571,91.75531914893617
,8466290,20002001,23,1392:35,0,3,3,12,7,486,77,17,392,20,424,94,0.903346,2.24044,26,22,538,52,53:33,81.91489361702128,85.0,92.45283018867924
