team_stat_id,team_id,season_id,team_stats_gamesPlayed,team_stats_wins,team_stats_losses,team_stats_ot,team_stats_pts,team_stats_ptPctg,team_stats_goalsPerGame,team_stats_goalsAgainstPerGame,team_stats_evGGARatio,team_stats_powerPlayPercentage,team_stats_powerPlayGoals,team_stats_powerPlayGoalsAgainst,team_stats_powerPlayOpportunities,team_stats_penaltyKillPercentage,team_stats_shotsPerGame,team_stats_shotsAllowed,team_stats_winScoreFirst,team_stats_winOppScoreFirst,team_stats_winLeadFirstPer,team_stats_winLeadSecondPer,team_stats_winOutshootOpp,team_stats_winOutshotByOpp
,1,19911992,80,38,31,0,87,54.4,3.613,3.238,1.2314,17.5,59.0,68.0,338.0,81.8,31.1875,28.625,0.711,0.262,0.793,0.805,0.49,0.414
,1,19921993,84,40,37,0,87,51.8,3.667,3.56,1.2314,19.2,77.0,79.0,400.0,81.4,33.0238,29.8095,0.641,0.333,0.769,0.838,0.51,0.452
,1,19931994,84,47,25,0,106,63.1,3.643,2.619,0.7616,18.3,61.0,71.0,333.0,81.1,31.631,29.0119,0.717,0.368,0.897,0.921,0.607,0.444
,1,19941995,48,22,18,0,52,54.2,2.833,2.521,0.7616,13.4,22.0,28.0,164.0,81.2,30.0833,25.375,0.6,0.304,0.667,0.714,0.533,0.313
,1,19951996,82,37,33,0,86,52.4,2.622,2.463,1.0,14.9,55.0,49.0,368.0,84.6,32.1585,26.5,0.643,0.25,0.677,0.774,0.475,0.381
,1,19961997,82,45,23,0,104,63.4,2.817,2.22,1.0,13.9,40.0,28.0,288.0,88.1,31.622,26.3415,0.678,0.217,0.714,0.767,0.474,0.7
,1,19971998,82,48,23,0,107,65.2,2.744,2.024,1.0,18.9,63.0,41.0,333.0,86.7,29.2805,23.6951,0.717,0.417,0.844,0.872,0.667,0.316
,1,19981999,82,47,24,0,105,64.0,3.024,2.39,0.7468,19.7,60.0,47.0,304.0,85.5,31.2805,24.7073,0.735,0.333,0.781,0.841,0.548,0.533
,1,19992000,82,45,24,5,103,62.8,3.061,2.476,0.9286,20.1,55.0,39.0,274.0,87.5,33.1341,25.622,0.622,0.459,0.7,0.882,0.587,0.471
,1,20002001,82,48,19,3,111,67.7,3.598,2.378,1.1969,22.9,71.0,49.0,310.0,84.7,31.5854,24.6829,0.727,0.421,0.839,0.921,0.583,0.684
,1,20012002,82,41,28,4,95,57.9,2.5,2.28,1.1969,16.9,44.0,43.0,261.0,83.8,29.8171,23.1707,0.714,0.275,0.75,0.774,0.452,0.632
,1,20022003,82,46,20,6,108,65.9,2.634,2.024,1.3684,11.9,36.0,32.0,303.0,87.9,31.7195,23.5732,0.708,0.353,0.821,0.846,0.523,0.692
,1,20032004,82,43,25,2,100,61.0,2.598,2.0,1.2636,16.4,51.0,39.0,312.0,85.3,29.6707,24.4024,0.771,0.176,0.821,0.842,0.559,0.5
,1,20052006,82,46,27,9,101,61.6,2.841,2.744,0.986,17.8,78.0,63.0,439.0,81.9,29.2073,29.3049,0.696,0.389,0.844,0.886,0.543,0.512
,1,20062007,82,49,24,9,107,65.2,2.512,2.354,0.9481,17.7,65.0,40.0,367.0,85.2,28.7073,28.439,0.739,0.417,0.783,0.912,0.711,0.538
,1,20072008,82,46,29,7,99,60.4,2.415,2.354,1.0246,15.6,50.0,54.0,320.0,82.8,28.8049,27.5244,0.725,0.405,0.806,0.879,0.609,0.514
,1,20082009,82,51,27,4,106,64.6,2.902,2.524,1.252,18.9,58.0,65.0,307.0,79.9,32.9024,29.4512,0.841,0.368,0.794,0.951,0.694,0.533
,1,20092010,82,48,27,7,103,62.8,2.634,2.268,1.0896,18.7,51.0,41.0,273.0,82.8,29.9878,26.9878,0.733,0.405,0.813,0.943,0.542,0.7
,1,20102011,82,38,39,5,81,49.4,2.085,2.524,0.8027,14.3,34.0,40.0,237.0,83.4,28.5854,26.2439,0.692,0.256,0.76,0.917,0.386,0.545
,1,20112012,82,48,28,6,102,62.2,2.634,2.5,0.9333,17.2,46.0,27.0,267.0,89.6,27.4756,26.8171,0.727,0.421,0.769,0.853,0.571,0.545
,1,20122013,48,19,19,10,48,50.0,2.292,2.542,0.8553,15.3,27.0,32.0,176.0,81.1,28.375,23.125,0.737,0.172,0.727,0.75,0.457,0.25
,1,20132014,82,35,29,18,88,53.7,2.402,2.378,0.9275,19.5,47.0,36.0,241.0,86.4,26.8171,25.4756,0.682,0.132,0.667,0.759,0.467,0.364
,1,20142015,82,32,36,14,78,47.6,2.146,2.549,0.9297,19.3,41.0,52.0,212.0,80.6,24.4878,30.7073,0.533,0.216,0.593,0.781,0.235,0.438
,1,20152016,82,38,36,8,84,51.2,2.22,2.463,0.8195,19.9,51.0,45.0,256.0,83.0,24.4268,28.6463,0.771,0.234,0.826,0.958,0.4,0.5
,1,20162017,82,28,40,14,70,42.7,2.195,2.939,0.7651,17.5,44.0,53.0,251.0,79.6,27.7927,31.3659,0.463,0.22,0.44,0.704,0.481,0.275
